concept:country:republic	country republic
concept:braintissue:cerebrospinal_fluid	brain tissue cerebrospinal fluid
concept:person:butler001	person butler 001
concept:city:york	city york
concept:city:sumter	city sumter
concept:country:scandinavia	country scandinavia
concept:stateorprovince:pennsylvania	state or province pennsylvania
concept:city:klamath_falls	city klamath falls
concept:country:party	country party
concept:athlete:john_brady	athlete john brady
concept:stateorprovince:texas	state or province texas
concept:jobposition:dean	job position dean
concept:newspaper:business_journal	newspaper business journal
concept:sportsgame:extra_days	sports game extra days
concept:room:set	room set
concept:website:tour	website tour
concept:website:light	website light
concept:country:bahrain	country bahrain
concept:company:north_carolina	company north carolina
concept:room:level	room level
concept:sportsteam:twins	sports team twins
concept:musicartist:season	music artist season
concept:coach:mike_tomlin	coach mike tomlin
concept:city:edmonds	city edmonds
concept:country:bermuda	country bermuda
concept:country:liberia	country liberia
concept:city:freemont	city free mont
concept:sportsteam:alabama_crimson_tide	sports team alabama crimson tide
concept:personmexico:ncaa	person mexico ncaa
concept:visualizablething:wellington	visual iz able thing wellington
concept:stadiumoreventvenue:sanford_stadium	stadium or event venue sanford stadium
concept:county:bellingham	county bellingham
concept:sportsteam:last_time_the_phillies	sports team last time the phillies
concept:website:experience	website experience
concept:month:april	month april
concept:city:lead	city lead
concept:hotel:metropolis	hotel metropolis
concept:plant:wildflowers	plant wildflowers
concept:vegetable:grass	vegetable grass
concept:male:bobby_bowden	male bobby bowden
concept:sportsteam:reds	sports team reds
concept:website:move	website move
concept:blog:film	blog film
concept:stateorprovince:andhra	state or province andhra
concept:country:republic_of_india	country republic of india
concept:politicaloffice:office	political office office
concept:coach:kansas_jayhawks	coach kansas jayhawks
concept:artery:tissues	artery tissues
concept:country:united_republic_of_tanzania	country united republic of tanzania
concept:geopoliticallocation:authorities	geopolitical location authorities
concept:room:house	room house
concept:blog:goal	blog goal
concept:skyscraper:international_city	skyscraper international city
concept:county:student	county student
concept:braintissue:peripheral_nervous_system	brain tissue peripheral nervous system
concept:plant:hickory	plant hickory
concept:planet:seven	planet seven
concept:stadiumoreventvenue:liberty_bowl_memorial_stadium	stadium or event venue liberty bowl memorial stadium
concept:city:oakland	city oakland
concept:planet:night	planet night
concept:river:arts	river arts
concept:plant:camellias	plant camellias
concept:geopoliticallocation:southern	geopolitical location southern
concept:plant:elms	plant elms
concept:country:oman	country oman
concept:city:fairchild_air_force_base	city fairchild air force base
concept:country:cambodia	country cambodia
concept:continent:asia	continent asia
concept:country:cuba	country cuba
concept:plant:lilacs	plant lilacs
concept:country:nepal	country nepal
concept:landscapefeatures:no__1	landscape features no 1
concept:sportsgame:short_years	sports game short years
concept:plant:tall_palms	plant tall palms
concept:country:nigeria	country nigeria
concept:airport:europe	airport europe
concept:sportsteam:texas_a_m	sports team texas a m
concept:coach:mike_sherman	coach mike sherman
concept:artery:cells	artery cells
concept:fruit:citrus	fruit citrus
concept:coach:dan_hawkins	coach dan hawkins
concept:stateorprovince:eu	state or province eu
concept:university:national	university national
concept:coach:neuheisel	coach neu he is el
concept:city:example	city example
concept:country:czech_republic	country czech republic
concept:planet:universe	planet universe
concept:weapon:weeks	weapon weeks
concept:plant:plum	plant plum
concept:city:havana	city havana
concept:room:executive	room executive
concept:sportsteam:ohio_state_university	sports team ohio state university
concept:room:properties	room properties
concept:coach:jagodzinski	coach j ago dz in ski
concept:bone:joints	bone joints
concept:county:miami	county miami
concept:visualizablething:use	visual iz able thing use
concept:city:mexico_city	city mexico city
concept:country:laos	country laos
concept:visualizablething:naples	visual iz able thing naples
concept:website:shop	website shop
concept:year:n1995	year n 1995
concept:sportsteam:los_angeles_dodgers	sports team los angeles dodgers
concept:museum:original_home	museum original home
concept:city:new_delhi	city new delhi
concept:country:cyprus	country cyprus
concept:city:westminster	city westminster
concept:street:role	street role
concept:city:design	city design
concept:plant:red_spruce	plant red spruce
concept:radiostation:laredo	radio station laredo
concept:person:gonzalez	person gonzalez
concept:artery:blood_flow	artery blood flow
concept:geopoliticalorganization:northern_california	geopolitical organization northern california
concept:building:houses	building houses
concept:plant:evergreen	plant evergreen
concept:plant:seedlings	plant seedlings
concept:stadiumoreventvenue:american_airlines_arena	stadium or event venue american airlines arena
concept:country:russia	country russia
concept:website:jobs	website jobs
concept:person:thomas_m__menino	person thomas m menino
concept:city:singapore	city singapore
concept:city:santa_clarita	city santa clarita
concept:stadiumoreventvenue:staples_center	stadium or event venue staples center
concept:county:los_angeles_county	county los angeles county
concept:nerve:autonomic_nervous_system	nerve autonomic nervous system
concept:artery:capillaries	artery capillaries
concept:stadiumoreventvenue:aggie_memorial_stadium	stadium or event venue ag gie memorial stadium
concept:person:duke	person duke
concept:country:republic_of_austria	country republic of austria
concept:geopoliticallocation:reports	geopolitical location reports
concept:city:bridgeport	city bridgeport
concept:stateorprovince:west_virginia	state or province west virginia
concept:personus:joe_dimaggio	person us joe dimaggio
concept:year:n1986	year n 1986
concept:plant:rowan	plant rowan
concept:visualizablething:queensland	visual iz able thing queensland
concept:sportsteam:lee_flames	sports team lee flames
concept:plant:woodland	plant woodland
concept:country:third_world_countries	country third world countries
concept:geopoliticallocation:east_asia	geopolitical location east asia
concept:monument:parade	monument parade
concept:stadiumoreventvenue:schoellkopf_field	stadium or event venue s cho ell kop f field
concept:muscle:function	muscle function
concept:stadiumoreventvenue:target_center	stadium or event venue target center
concept:artery:smooth_muscle	artery smooth muscle
concept:city:colton	city colt on
concept:stateorprovince:virginia	state or province virginia
concept:city:lynchburg	city lynchburg
concept:plant:white_pine	plant white pine
concept:bone:auditory_system	bone auditory system
concept:room:east	room east
concept:plant:evergreens	plant evergreens
concept:city:kennesaw	city kennesaw
concept:city:contract	city contract
concept:bodypart:protective_membranes	body part protective membranes
concept:sportsteam:mary_hardin_baylor_crusaders	sports team mary hard in baylor crusaders
concept:city:waco	city waco
concept:city:new_york	city new york
concept:scientist:no_	scientist no
concept:landscapefeatures:weekend	landscape features weekend
concept:city:clinton	city clinton
concept:stateorprovince:maryland	state or province maryland
concept:nongovorganization:u_s_	non gov organization u s
concept:sportsteam:washington_state	sports team washington state
concept:website:stranger	website stranger
concept:sportsequipment:scoreboard	sports equipment scoreboard
concept:sportsteam:seattle_mariners	sports team seattle mariners
concept:blog:wichita_falls	blog wichita falls
concept:plant:green_ash	plant green ash
concept:country:left_parties	country left parties
concept:artery:intestines	artery intestines
concept:country:kosovo	country kosovo
concept:county:york_city	county york city
concept:date:n1942	date n 1942
concept:sportsteam:stanford	sports team stanford
concept:website:issue	website issue
concept:sportsteam:marlins	sports team marlins
concept:airport:south_america	airport south america
concept:country:republic_of_guatemala	country republic of guatemala
concept:person:marion_barry	person marion barry
concept:country:republic_of_nicaragua	country republic of nicaragua
concept:plant:pine	plant pine
concept:visualizablething:tri_state_area	visual iz able thing tri state area
concept:website:advantage	website advantage
concept:plant:sycamores	plant sycamores
concept:artery:eye	artery eye
concept:plant:tulip_poplar	plant tulip poplar
concept:retailstore:quality	retail store quality
concept:sportsteam:michigan_state	sports team michigan state
concept:city:caledonia	city caledonia
concept:visualizablescene:willits	visual iz able scene will its
concept:politicalparty:democrats	political party democrats
concept:plant:holly	plant holly
concept:country:malawi	country malawi
concept:county:olympia	county olympia
concept:sportsteam:flyers_playoff_tickets	sports team flyers playoff tickets
concept:sportsteam:minnesota_twins	sports team minnesota twins
concept:landscapefeatures:beaches	landscape features beaches
concept:country:thailand	country thailand
concept:country:participation	country participation
concept:coach:eric_mangini	coach eric mang in i
concept:city:mcallen	city mcallen
concept:coach:pat_dye	coach pat dye
concept:university:auburn	university auburn
concept:plant:beautiful_palm	plant beautiful palm
concept:stateorprovince:florida	state or province florida
concept:city:tallahassee	city tallahassee
concept:river:state	river state
concept:fruit:apples	fruit apples
concept:website:knowledge	website knowledge
concept:website:market	website market
concept:sportsteam:kansas_city_royals	sports team kansas city royals
concept:city:help	city help
concept:city:mount_pleasant	city mount pleasant
concept:governmentorganization:iowa	government organization iowa
concept:city:salem	city salem
concept:writer:brown	writer brown
concept:university:law_school	university law school
concept:geopoliticallocation:holland	geopolitical location holland
concept:plant:silver_maples	plant silver maples
concept:city:chula_vista	city chula vista
concept:coach:tom_o_brien	coach tom o brien
concept:month:february	month february
concept:month:september	month september
concept:plant:kapok	plant kapok
concept:city:farmington	city farmington
concept:stateorprovince:michigan	state or province michigan
concept:planet:answer	planet answer
concept:visualizablething:residence	visual iz able thing residence
concept:city:tehran	city tehran
concept:city:hampton	city hampton
concept:city:cumming	city cumming
concept:geopoliticallocation:western_europe	geopolitical location western europe
concept:bodypart:blood	body part blood
concept:plant:fig	plant fig
concept:skiarea:big_draw	ski area big draw
concept:bone:movement	bone movement
concept:city:puyallup	city puy all up
concept:bone:tendons	bone tendons
concept:plant:almonds	plant almonds
concept:plant:lemon	plant lemon
concept:university:case_western_reserve	university case western reserve
concept:coach:urban_meyer	coach urban meyer
concept:coach:tommy_tuberville	coach tommy tuber ville
concept:coach:dennis_felton	coach dennis felton
concept:city:yreka	city yr eka
concept:city:new_brunswick	city new brunswick
concept:stateorprovince:newjersey	state or province new jersey
concept:sportsgame:more_weeks	sports game more weeks
concept:county:san_francisco	county san francisco
concept:sportsteam:st___louis_cardinals	sports team st louis cardinals
concept:mountain:columbia	mountain columbia
concept:coach:texas_tech	coach texas tech
concept:room:mission	room mission
concept:geopoliticallocation:southwest001	geopolitical location southwest 001
concept:geopoliticallocation:central_europe	geopolitical location central europe
concept:university:nebraska	university nebraska
concept:country:rok	country rok
concept:country:afghanistan	country afghanistan
concept:geopoliticalorganization:eastern	geopolitical organization eastern
concept:newspaper:the_national	newspaper the national
concept:city:sweden	city sweden
concept:island:mother	island mother
concept:braintissue:central_nervous_system	brain tissue central nervous system
concept:country:arabia_saudita	country arabia saud it a
concept:city:moline	city moline
concept:city:meriden	city meriden
concept:stateorprovince:connecticut	state or province connecticut
concept:island:venezuela	island venezuela
concept:plant:spruces	plant spruces
concept:stadiumoreventvenue:notre_dame_stadium	stadium or event venue notre dame stadium
concept:governmentorganization:european_union	government organization european union
concept:stadiumoreventvenue:legion_field	stadium or event venue legion field
concept:braintissue:brains	brain tissue brains
concept:city:catholic	city catholic
concept:city:vista	city vista
concept:building:oklahoma_state	building oklahoma state
concept:sportsequipment:basketball_equipment	sports equipment basketball equipment
concept:governmentorganization:workers	government organization workers
concept:muscle:fatigue	muscle fatigue
concept:country:panama_city	country panama city
concept:nerve:retina	nerve retina
concept:stadiumoreventvenue:verizon_center	stadium or event venue verizon center
concept:geopoliticallocation:u_s__state	geopolitical location u s state
concept:stateorprovince:alabama	state or province alabama
concept:stadiumoreventvenue:arco_arena	stadium or event venue arco arena
concept:sportsteam:tar_heels	sports team tar heels
concept:plant:poplars	plant poplars
concept:landscapefeatures:gulf	landscape features gulf
concept:city:vail	city vail
concept:celebrity:yale_bulldogs	celebrity yale bulldogs
concept:bodypart:musculo_skeletal_system	body part mus cul o skeletal system
concept:island:easter	island easter
concept:geopoliticallocation:consortium	geopolitical location consortium
concept:stadiumoreventvenue:byrd_stadium	stadium or event venue byrd stadium
concept:year:n1992	year n 1992
concept:city:chico	city chico
concept:zoo:moment	zoo moment
concept:plant:ash	plant ash
concept:governmentorganization:united_nations	government organization united nations
concept:perceptionaction:des_moines	perception action des moines
concept:hotel:union	hotel union
concept:city:lawrenceville	city lawrenceville
concept:plant:switchgrass	plant switchgrass
concept:building:interest	building interest
concept:city:loveland	city love land
concept:bodypart:spinal_chord	body part spinal chord
concept:celebrity:venice	celebrity venice
concept:sportsleague:post	sports league post
concept:stadiumoreventvenue:harvard_stadium	stadium or event venue harvard stadium
concept:city:orient	city orient
concept:shoppingmall:central_park	shopping mall central park
concept:city:clearwater	city clearwater
concept:city:nature	city nature
concept:sportsteam:northwestern	sports team northwestern
concept:country:iraq	country iraq
concept:musician:agencies	musician agencies
concept:bodypart:tissue001	body part tissue 001
concept:bodypart:legs	body part legs
concept:stateorprovince:northern_state	state or province northern state
concept:website:developer	website developer
concept:country:eu_member_states	country eu member states
concept:sportsteam:nc_state	sports team nc state
concept:coach:kay_yow	coach kay yo w
concept:city:resources	city resources
concept:city:campbell	city campbell
concept:country:belarus	country belarus
concept:stateorprovince:opole	state or province opole
concept:island:investment	island investment
concept:stateorprovince:puerto_rico	state or province puerto rico
concept:geopoliticallocation:south_wales	geopolitical location south wales
concept:celebrity:harvard_crimson	celebrity harvard crimson
concept:city:articles	city articles
concept:plant:ponderosa_pines	plant ponder osa pines
concept:stateorprovince:nebraska	state or province nebraska
concept:bodypart:organ001	body part organ 001
concept:plant:yews	plant yews
concept:geopoliticallocation:destinations	geopolitical location destinations
concept:radiostation:tuscaloosa	radio station tuscaloosa
concept:university:alabama	university alabama
concept:country:guyana	country guyana
concept:company:press	company press
concept:bank:henderson	bank henderson
concept:skiarea:kentucky	ski area kentucky
concept:country:republic_of_paraguay	country republic of paraguay
concept:coach:harbaugh	coach harbaugh
concept:plant:catalpa	plant catalpa
concept:academicfield:lubbock	academic field lubbock
concept:website:platform	website platform
concept:musicartist:delaware	music artist delaware
concept:plant:palm	plant palm
concept:traditionalgame:vegas	traditional game vegas
concept:stateorprovince:pensacola	state or province pensacola
concept:braintissue:responses	brain tissue responses
concept:stateorprovince:mississippi_state	state or province mississippi state
concept:bridge:premier_destination	bridge premier destination
concept:visualizablescene:white_plains	visual iz able scene white plains
concept:geopoliticallocation:world	geopolitical location world
concept:city:woodstock	city woodstock
concept:geopoliticallocation:burma	geopolitical location burma
concept:coach:manny_diaz	coach manny diaz
concept:website:breeze	website breeze
concept:politicsblog:guardian	politics blog guardian
concept:economicsector:insurance	economic sector insurance
concept:coach:tedford	coach ted ford
concept:museum:national_capital	museum national capital
concept:country:hungary	country hungary
concept:city:boulder	city boulder
concept:plant:acacias	plant acacias
concept:city:seoul	city seoul
concept:coach:steve_spurrier	coach steve spur rie r
concept:sportsteam:western_kentucky_hilltoppers	sports team western kentucky hill toppers
concept:city:daytona_beach	city daytona beach
concept:plant:crepe_myrtle	plant crepe myrtle
concept:stadiumoreventvenue:bright_house_networks_stadium	stadium or event venue bright house networks stadium
concept:artery:subclavian	artery sub clav ian
concept:city:new_orleans	city new orleans
concept:city:warner_robins	city warner robins
concept:country:burundi	country burundi
concept:coach:mark_richt	coach mark rich t
concept:country:origin	country origin
